,title,abstract,link,img
0,NBA／同為3年效力4隊！哈登、衛少第3次合體拚總冠軍,在美東時間凌晨時分，哈登（James Harden）被交易到快艇的消息可說是震撼整個聯盟，話題迅速...,https://tw-nba.udn.com/nba/story/7002/7542304,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26713493.jpg&s=Y&x=52&y=24&sw=1195&sh=797&exp=3600&w=220
1,NBA／尷尬了！費城射手想搭哈登交易列車 快艇76人皆反對,快艇與76人商討許久原本看似破局的哈登（James Harden）交易案，最後峰迴路轉，在深夜時分...,https://tw-nba.udn.com/nba/story/7002/7542162,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26711601.jpg&x=&y=&sw=&sh=&exp=3600&w=220
2,NBA／太平洋組火藥庫！17人全明星、5名MVP、8位75大球星,「大鬍子」哈登（James Harden）今天被交易到快艇，撼動聯盟版圖，更讓太平洋組5支球隊的內...,https://tw-nba.udn.com/nba/story/7002/7542039,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26710589.jpg&s=Y&x=0&y=104&sw=1221&sh=814&exp=3600&w=220
3,NBA／打包閃人！得知交易達成興奮難耐 傳哈登迫不及待想飛往洛城,NBA今天傳出震撼彈，明星後衛「大鬍子」哈登（James Harden）將和被交易到快艇，組成「宇...,https://tw-nba.udn.com/nba/story/7002/7542038,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26710799.jpg&s=Y&x=0&y=0&sw=1247&sh=831&exp=3600&w=220
4,NBA／湖人循序漸進創造化學效應 羅素：需要時間淬鍊,洛杉磯湖人今天回到主場背靠背出賽迎戰奧蘭多魔術，靠著戴維斯（Anthony Davis）拿下26分...,https://tw-nba.udn.com/nba/story/7002/7541908,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/98/26710116.jpg&s=Y&x=80&y=76&sw=1165&sh=777&exp=3600&w=220
5,NBA／灰熊雙星60分還是輸 唐西奇35分大三元助獨行俠3連勝,獨行俠球星唐西奇（Luka Doncic）本季拿出爭奪MVP的氣勢，他今天再度繳出35分12籃板1...,https://tw-nba.udn.com/nba/story/7002/7541961,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26709873.jpg&s=Y&x=0&y=0&sw=1280&sh=853&exp=3600&w=220
6,NBA／預約2025年選秀狀元 高中側翼怪物加入杜克大學,籃壇未來怪物即將投向杜克大學，他是2025年NBA預測選秀狀元的佛萊格！16歲的天才前鋒佛萊格（C...,https://tw-nba.udn.com/nba/story/7002/7541410,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26709944.jpg&s=Y&x=68&y=20&sw=921&sh=614&exp=3600&w=220
7,NBA／近3戰轟20記三分彈 柯瑞準到鵜鶘球迷倒戈,前幾季因傷病沒能在紐奧良出賽，勇士隊當家球星柯瑞（Stephen Curry）今天雖是客場出征，卻...,https://tw-nba.udn.com/nba/story/7002/7541914,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/realtime/26709275.jpg&s=Y&x=0&y=0&sw=6000&sh=4000&exp=3600&w=220
8,NBA／怒罵莫雷「騙子」 哈登大罷工如願加入豪華快艇團,消息人士告訴《ESPN》知名記者沃納羅斯基（Adrian Wojnarowski），費城76人隊已...,https://tw-nba.udn.com/nba/story/7002/7541773,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/98/26708828.jpg&s=Y&x=140&y=48&sw=1139&sh=759&exp=3600&w=220
9,NBA／四狀元罕見同場對決 榜眼羅素率湖人斬魔術搶盡鋒頭,今天湖人隊在主場「背靠背」迎戰魔術隊，兩隊全場一路拉据到末節才分出勝負，湖人靠著羅素（D'...,https://tw-nba.udn.com/nba/story/7002/7541785,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/10/31/0/26708278.jpg&s=Y&x=0&y=0&sw=1277&sh=852&exp=3600&w=220
